country1,country2,obes_diff
Somalia,Pakistan,0.014462097
Somalia,United Arab Emirates,0.31689899
Somalia,Yemen,0.01970097
South Africa,China,0.198208122
South Africa,Germany,0.098208122
South Africa,India,0.207208122
South Africa,Japan,0.196208122
South Africa,Saudi Arabia,0.128791878
South Africa,United Kingdom,0.000208122
South Africa,United States,0.111791878
Spain,China,0.127
Spain,France,0.013
Spain,Germany,0.027
Spain,Italy,0.058
Spain,Netherlands,0.030949495
Spain,United Kingdom,0.071
Sri Lanka,China,0.029
Sri Lanka,India,0.02
Sri Lanka,Iran,0.142
Sri Lanka,Japan,0.031
Sri Lanka,Singapore,0.069
Sudan,Egypt,0.258124378
Sudan,Germany,0.084124378
Sudan,India,0.024875622
Sudan,Saudi Arabia,0.311124378
Sudan,United Arab Emirates,0.292124378
Suriname,Antigua and Barbuda,0.048421053
Suriname,Brazil,0.029
Suriname,China,0.111
Suriname,Japan,0.109
Suriname,Netherlands,0.014949495
Suriname,United Arab Emirates,0.197
Suriname,United States,0.199
Sweden,China,0.091
Sweden,Denmark,0.006
Sweden,Finland,0.037
Sweden,France,0.049
Sweden,Germany,0.009
Sweden,Netherlands,0.005050505
Sweden,Norway,0.02
Sweden,Russia,0.12
Sweden,United Kingdom,0.107
Switzerland,Austria,0.028
Switzerland,France,0.087
Switzerland,Germany,0.047
Switzerland,Italy,0.016
Switzerland,Netherlands,0.043050505
Switzerland,United States,0.257
Syria,China,0.221
Syria,Iran,0.108
Syria,Iraq,0.115544554
Syria,Italy,0.152
Syria,Russia,0.01
Syria,Saudi Arabia,0.106
Syria,Turkey,0.089
Syria,United Arab Emirates,0.087
Taiwan,China,0.029
Taiwan,Japan,0.031
Taiwan,South Korea,0.032
Taiwan,Saudi Arabia,0.356
Taiwan,United States,0.339
Tajikistan,China,0.056454545
Tajikistan,Kazakhstan,0.010252261
Tajikistan,Russia,0.154545455
Tajikistan,United States,0.253545455
Tanzania,China,0.011
Tanzania,India,0.02
Tanzania,Kenya,0.03
Tanzania,South Africa,0.187208122
Tanzania,United Arab Emirates,0.297
Thailand,China,0.049
Thailand,Japan,0.047
Thailand,South Korea,0.046
Thailand,Malaysia,0.085
Thailand,United Arab Emirates,0.259
Thailand,United States,0.261
Togo,Belgium,0.06769697
Togo,China,0.01130303
Togo,France,0.12869697
Togo,India,0.02030303
Togo,United Kingdom,0.18669697
Togo,United States,0.29869697
Tonga,China,0.531
Tonga,Fiji,0.321
Tonga,New Zealand,0.295
Tonga,United States,0.221
Trinidad and Tobago,Brazil,0.253358974
Trinidad and Tobago,Canada,0.133358974
Trinidad and Tobago,China,0.335358974
Trinidad and Tobago,Gabon,0.254358974
Trinidad and Tobago,Russia,0.124358974
Trinidad and Tobago,United States,0.025358974
Tunisia,China,0.175378109
Tunisia,France,0.035378109
Tunisia,Germany,0.075378109
Tunisia,Italy,0.106378109
Tunisia,Russia,0.035621891
Tunisia,Spain,0.048378109
Turkey,China,0.132
Turkey,Germany,0.032
Turkey,Iran,0.019
Turkey,Italy,0.063
Turkey,Russia,0.079
Turkey,United States,0.178
Turkmenistan,China,0.091456853
Turkmenistan,Germany,0.008543147
Turkmenistan,Russia,0.119543147
Turkmenistan,Turkey,0.040543147
Turkmenistan,United Arab Emirates,0.216543147
Uganda,China,0.019
Uganda,India,0.01
Uganda,Japan,0.021
Uganda,Kenya,0
Uganda,South Africa,0.217208122
Uganda,United Arab Emirates,0.327
